route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p675_raw,0.675,,0.0,0.0,1.0,hard,35.82247988854202,0.9984686821699142,0.9838040098547935,0.03484488881076686,43.71121022364956,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p675_raw.csv
a0p7_raw,0.7,,0.0,0.0,1.0,hard,35.822512019279785,0.9984700195491314,0.9837977327406406,0.034894464508397505,43.71113867303906,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p7_raw.csv
a0p675_lin005,0.675,linear,0.005,0.0,1.0,hard,35.82199879552432,0.9984686560928822,0.9838029034435749,0.035033381514949724,43.710349775938866,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p675_lin005.csv
a0p7_lin005,0.7,linear,0.005,0.0,1.0,hard,35.82201410319425,0.9984700195491314,0.983796663582325,0.035083906492218375,43.71025973466925,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p7_lin005.csv
a0p65_raw,0.65,,0.0,0.0,1.0,hard,35.82134436359004,0.9984665960073471,0.9838066324591637,0.03478959412313998,43.71017801630617,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p65_raw.csv
a0p675_cubic005,0.675,cubic,0.005,0.0,1.0,hard,35.821785674098805,0.9984691627323627,0.9838042072951794,0.03504897764651105,43.71011110979032,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p675_cubic005.csv
a0p7_cubic005,0.7,cubic,0.005,0.0,1.0,hard,35.82180432120357,0.9984703026711941,0.9837979301810265,0.03509834030410275,43.710025316984584,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p7_cubic005.csv
a0p725_raw,0.725,,0.0,0.0,1.0,hard,35.821441409962624,0.9984707608819008,0.9837877005338669,0.034938706492539495,43.70996396333668,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p725_raw.csv
a0p65_lin005,0.65,linear,0.005,0.0,1.0,hard,35.820892025588485,0.9984668307006359,0.9838055223226547,0.03498024039436132,43.70934357364889,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p65_lin005.csv
a0p65_cubic005,0.65,cubic,0.005,0.0,1.0,hard,35.82067568803667,0.9984671175479889,0.9838067926466465,0.03499541734345257,43.709101143930994,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p65_cubic005.csv
a0p725_lin005,0.725,linear,0.005,0.0,1.0,hard,35.82093795980781,0.9984707124531269,0.9837866090238094,0.035129210125887766,43.70907703232241,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p725_lin005.csv
a0p725_cubic005,0.725,cubic,0.005,0.0,1.0,hard,35.82073157657541,0.9984709955751896,0.9837879650294781,0.03514337135129608,43.70884673738291,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p725_cubic005.csv
a0p675_lin01,0.675,linear,0.01,0.0,1.0,hard,35.82062848037877,0.9984681531786919,0.9837997704744339,0.03522898655501194,43.70857896728977,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p675_lin01.csv
a0p7_lin01,0.7,linear,0.01,0.0,1.0,hard,35.82062829245166,0.9984692484140396,0.9837935045361519,0.035279115807497874,43.708472560393204,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p7_lin01.csv
a0p625_raw,0.625,,0.0,0.0,1.0,hard,35.81910573282036,0.9984644874930382,0.9838054813444614,0.034732724219793454,43.708038172027926,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p625_raw.csv
a0p75_raw,0.75,,0.0,0.0,1.0,hard,35.81926930901874,0.9984712041914463,0.9837739691138268,0.034978855605004355,43.707686761185066,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p75_raw.csv
a0p65_lin01,0.65,linear,0.01,0.0,1.0,hard,35.81954898230485,0.9984662421047688,0.983802430331707,0.03517495794221759,43.70760137971244,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p65_lin01.csv
a0p725_lin01,0.725,linear,0.01,0.0,1.0,hard,35.81954870424314,0.9984702654182911,0.983783483505249,0.035323674470419064,43.707289914822546,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p725_lin01.csv
a0p625_lin005,0.625,linear,0.005,0.0,1.0,hard,35.81869387027654,0.9984645918011665,0.9838044308125973,0.03492326321429573,43.70724375628014,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p625_lin005.csv
a0p625_cubic005,0.625,cubic,0.005,0.0,1.0,hard,35.8184743279105,0.9984650202095509,0.9838056787848473,0.034937624441226944,43.70700055785505,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p625_cubic005.csv
a0p75_lin005,0.75,linear,0.005,0.0,1.0,hard,35.81877228957437,0.9984712339937687,0.9837728887796402,0.03517042301245965,43.70680462507134,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p75_lin005.csv
a0p75_cubic005,0.75,cubic,0.005,0.0,1.0,hard,35.81856957822538,0.9984716586768627,0.9837742708623409,0.03518383367918432,43.70658040465287,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p75_cubic005.csv
a0p625_lin01,0.625,linear,0.01,0.0,1.0,hard,35.81738948777952,0.9984641894698143,0.9838013909757137,0.03511813687509857,43.70554113279964,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p625_lin01.csv
a0p75_lin01,0.75,linear,0.01,0.0,1.0,hard,35.81739203750115,0.9984705187380314,0.983769815415144,0.0353653876518365,43.705024005455954,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p75_lin01.csv
a0p6_raw,0.6,,0.0,0.0,1.0,hard,35.815765447406704,0.9984620027244091,0.9838005639612675,0.03467059362446889,43.704797404426756,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p6_raw.csv
a0p775_raw,0.775,,0.0,0.0,1.0,hard,35.81599876218586,0.9984710700809956,0.9837564080953598,0.035016800597077236,43.7043043976684,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p775_raw.csv
a0p6_lin005,0.6,linear,0.005,0.0,1.0,hard,35.81540515166957,0.9984621778130531,0.9837996363639832,0.03485973482020199,43.704058021635454,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p6_lin005.csv
a0p6_cubic005,0.6,cubic,0.005,0.0,1.0,hard,35.81518302893414,0.998462438583374,0.9838008247315884,0.034876774210715666,43.70380576147613,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p6_cubic005.csv
a0p775_lin005,0.775,linear,0.005,0.0,1.0,hard,35.81551981533808,0.9984712563455105,0.9837554059922695,0.03520690446021035,43.70344435647526,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p775_lin005.csv
a0p775_cubic005,0.775,cubic,0.005,0.0,1.0,hard,35.81532075573434,0.9984714724123478,0.9837568663060665,0.03522008523577824,43.703223152349004,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p775_cubic005.csv
a0p6_lin01,0.6,linear,0.01,0.0,1.0,hard,35.81415151047581,0.9984617941081524,0.9837966822087765,0.03505503851920366,43.70240556250387,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p6_lin01.csv
a0p775_lin01,0.775,linear,0.01,0.0,1.0,hard,35.81416100126262,0.9984704107046127,0.983752403408289,0.03540034900652245,43.70168757429383,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p775_lin01.csv
a0p55_raw,0.55,,0.0,0.0,1.0,hard,35.80578967832271,0.9984552450478077,0.9837796054780483,0.03453417922719382,43.695012001111266,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p55_raw.csv
a0p55_lin005,0.55,linear,0.005,0.0,1.0,hard,35.805568254411114,0.9984555840492249,0.9837788641452789,0.034725568984868005,43.694408349027285,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p55_lin005.csv
a0p55_cubic005,0.55,cubic,0.005,0.0,1.0,hard,35.80534051522895,0.9984558820724487,0.9837800525128841,0.03473926236620173,43.694157387957006,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p55_cubic005.csv
a0p55_lin01,0.55,linear,0.01,0.0,1.0,hard,35.804450118861624,0.9984553046524525,0.9837761707603931,0.03491944866254926,43.692895390972026,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p55_lin01.csv
a0p5_raw,0.5,,0.0,0.0,1.0,hard,35.79144997367825,0.9984469003975391,0.9837437458336353,0.03438162954989821,43.68085560863096,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p5_raw.csv
a0p5_lin005,0.5,linear,0.005,0.0,1.0,hard,35.791410586209786,0.9984472803771496,0.9837434217333794,0.03457167392480187,43.68043776408984,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p5_lin005.csv
a0p5_cubic005,0.5,cubic,0.005,0.0,1.0,hard,35.79117803978492,0.9984476044774055,0.9837445989251137,0.034588660404551774,43.680175543690474,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p5_cubic005.csv
a0p5_lin01,0.5,linear,0.01,0.0,1.0,hard,35.790474805176764,0.998447198420763,0.9837410300970078,0.03476779963239096,43.679104456630576,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p5_lin01.csv
a0p45_raw,0.45,,0.0,0.0,1.0,hard,35.77279327942322,0.9984364993870258,0.9836928434669971,0.03421594330575317,43.66236607606786,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p45_raw.csv
a0p45_lin005,0.45,linear,0.005,0.0,1.0,hard,35.7729802912443,0.9984371922910213,0.9836928769946098,0.034406621067319065,43.66217595684501,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p45_lin005.csv
a0p45_cubic005,0.45,cubic,0.005,0.0,1.0,hard,35.77274398321084,0.9984373971819878,0.9836940765380859,0.03442306631768588,43.661910386743564,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p45_cubic005.csv
a0p45_lin01,0.45,linear,0.01,0.0,1.0,hard,35.772271225823296,0.9984370656311512,0.983690969645977,0.03460094590263907,43.66107366709688,experiments/hat_sstxlarge_dflip_smoke16_fine_20260512/a0p45_lin01.csv
